$ lsmod
---
Module                  Size  Used by
algif_aead             12288  0
des_generic            12288  0
libdes                 24576  1 des_generic
md4                    12288  0
rfcomm                110592  18
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               139264  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
tcp_dctcp              16384  0
tcp_htcp               12288  0
tcp_bbr                24576  3
ccm                    20480  0
snd_ctl_led            24576  0
snd_soc_skl_hda_dsp    16384  4
algif_hash             16384  1
snd_soc_intel_sof_board_helpers    24576  1 snd_soc_skl_hda_dsp
snd_sof_probes         32768  0
algif_skcipher         16384  1
snd_soc_intel_hda_dsp_common    16384  1 snd_soc_intel_sof_board_helpers
af_alg                 36864  7 algif_hash,algif_skcipher,algif_aead
bnep                   36864  2
snd_hda_codec_intelhdmi    28672  1
snd_hda_codec_hdmi     61440  1 snd_hda_codec_intelhdmi
snd_hda_codec_alc269   159744  1
nft_chain_nat          12288  4
snd_hda_codec_realtek_lib    73728  1 snd_hda_codec_alc269
xt_MASQUERADE          16384  1
snd_hda_scodec_component    20480  1 snd_hda_codec_alc269
nf_nat                 65536  3 nft_chain_nat,xt_MASQUERADE
snd_soc_dmic           12288  1
snd_hda_codec_generic   126976  2 snd_hda_codec_realtek_lib,snd_hda_codec_alc269
snd_hda_intel          69632  0
snd_sof_pci_intel_cnl    20480  0
snd_sof_intel_hda_generic    45056  1 snd_sof_pci_intel_cnl
soundwire_intel        94208  1 snd_sof_intel_hda_generic
snd_sof_intel_hda_sdw_bpt    20480  1 soundwire_intel
snd_sof_intel_hda_common   217088  3 snd_sof_intel_hda_sdw_bpt,snd_sof_intel_hda_generic,snd_sof_pci_intel_cnl
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
snd_sof_intel_hda      24576  2 snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_intel_hda_mlink    40960  4 snd_sof_intel_hda_sdw_bpt,soundwire_intel,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
soundwire_cadence      69632  1 soundwire_intel
snd_sof_pci            24576  2 snd_sof_intel_hda_generic,snd_sof_pci_intel_cnl
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_generic
snd_sof               512000  7 snd_sof_intel_hda_sdw_bpt,snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda_generic,snd_sof_probes,snd_sof_intel_hda,snd_sof_pci_intel_cnl
snd_sof_utils          16384  1 snd_sof
snd_soc_acpi_intel_match   143360  3 snd_soc_intel_sof_board_helpers,snd_sof_intel_hda_generic,snd_sof_pci_intel_cnl
snd_soc_acpi_intel_sdca_quirks    12288  1 snd_soc_acpi_intel_match
soundwire_generic_allocation    20480  1 soundwire_intel
snd_soc_sdw_utils     139264  1 snd_sof_intel_hda_generic
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_generic
soundwire_bus        1220608  4 soundwire_intel,snd_soc_sdw_utils,soundwire_generic_allocation,soundwire_cadence
snd_soc_sdca          143360  2 snd_soc_acpi_intel_sdca_quirks,soundwire_bus
crc8                   12288  1 soundwire_cadence
intel_rapl_msr         24576  0
snd_soc_avs           270336  0
intel_uncore_frequency    12288  0
intel_uncore_frequency_common    20480  1 intel_uncore_frequency
snd_soc_hda_codec      28672  1 snd_soc_avs
snd_hda_ext_core       40960  7 snd_sof_intel_hda_sdw_bpt,snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_hda_codec         245760  12 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_soc_intel_hda_dsp_common,snd_hda_codec_realtek_lib,snd_soc_hdac_hda,snd_hda_codec_alc269,snd_sof_intel_hda,snd_soc_skl_hda_dsp,snd_hda_codec_intelhdmi
intel_tcc_cooling      12288  0
x86_pkg_temp_thermal    16384  0
intel_powerclamp       20480  0
snd_hda_core          159744  14 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_soc_intel_hda_dsp_common,snd_sof_intel_hda_common,snd_hda_codec_realtek_lib,snd_soc_hdac_hda,snd_hda_codec_alc269,snd_sof_intel_hda,snd_hda_codec_intelhdmi
coretemp               20480  0
snd_intel_dspcfg       49152  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
joydev                 28672  0
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
mousedev               28672  0
snd_hwdep              24576  1 snd_hda_codec
kvm_intel             475136  0
iwlmvm                729088  0
squashfs               98304  13
snd_soc_core          450560  12 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_soc_intel_sof_board_helpers,snd_soc_sdca,snd_sof_intel_hda_common,snd_soc_sdw_utils,snd_soc_hdac_hda,snd_sof_probes,snd_soc_dmic,snd_soc_skl_hda_dsp
vfat                   24576  1
processor_thermal_device_pci_legacy    12288  0
loop                   40960  26
fat                   114688  1 vfat
uvcvideo              180224  0
ac97_bus               12288  1 snd_soc_core
